scenario_name,num_pickers,num_packers,num_shipping_stations,throughput_mean,avg_wait_for_picking_mean,avg_wait_for_packing_mean,avg_wait_for_shipping_mean,avg_total_waiting_time_mean,avg_completion_time_mean,picker_utilization_mean,packer_utilization_mean,shipping_utilization_mean,max_utilization_resource,max_utilization_value,longest_wait_stage,longest_wait_minutes,throughput_change_vs_baseline,waiting_time_reduction_pct_vs_baseline,completion_time_reduction_pct_vs_baseline
Baseline,2,1,1,75.26666666666667,7.406613890057927,42.09332037469617,0.1795819181880898,49.67951618294218,67.78120131752024,0.6310496059695365,0.9471106789694402,0.6289813705517019,Packer,0.9471106789694402,Packing,42.09332037469617,0.0,0.0,0.0
Add One Picker,3,1,1,76.13333333333334,0.918382401658614,48.166476026077476,0.1686091496760263,49.25346757741212,67.34742410790399,0.4267028524095816,0.9513103885813778,0.6380094127309583,Packer,0.9513103885813778,Packing,48.166476026077476,0.8666666666666742,0.8575941117485159,0.639966836209096
Add One Packer,2,2,1,91.23333333333333,5.3074202062175155,0.21233137683447129,3.122933401775066,8.642684984827053,26.715599835467295,0.7626370099079377,0.5726239866665094,0.7644561004132913,Shipping Station,0.7644561004132913,Picking,5.3074202062175155,15.966666666666669,82.60312167090994,60.58553210009015
Add One Shipping Station,2,1,2,75.53333333333333,7.530532045610514,44.8330602721121,0.0,52.36359231772261,70.44758444605704,0.6319154148872734,0.9473871131466609,0.31697121958322644,Packer,0.9473871131466609,Packing,44.8330602721121,0.2666666666666657,-5.402782355803276,-3.9338091929739525
Balanced Capacity,3,2,1,92.73333333333333,0.8042675718986084,0.9655503618344125,4.967216710420775,6.7370346441537965,24.75535898281245,0.5198030594282821,0.5750544319825733,0.7723046018733281,Shipping Station,0.7723046018733281,Shipping,4.967216710420775,17.46666666666667,86.43900914947517,63.47754465600829
