scenario_name,avg_interarrival_time_minutes,throughput_mean,throughput_std,avg_wait_for_picking_mean,avg_wait_for_picking_std,avg_wait_for_packing_mean,avg_wait_for_packing_std,avg_wait_for_shipping_mean,avg_wait_for_shipping_std,avg_total_waiting_time_mean,avg_total_waiting_time_std,avg_completion_time_mean,avg_completion_time_std,picker_utilization_mean,picker_utilization_std,packer_utilization_mean,packer_utilization_std,shipping_utilization_mean,shipping_utilization_std
Interarrival Time = 6 min,6.0,71.86666666666666,5.418571725116305,3.6455684892878266,2.748582694011418,24.807893374481747,13.168709324523247,0.15697716574379944,0.09775232187404727,28.610439029513376,15.164542397123633,46.695926158703216,15.138186046173102,0.5954674843608232,0.04600708416404488,0.9109312896617896,0.06292398882213374,0.6048011521213771,0.04831609721223514
Interarrival Time = 5 min,5.0,75.26666666666667,3.1396610110596046,7.406613890057927,5.3945106111237715,42.09332037469617,21.2404575720063,0.1795819181880898,0.11666919706221164,49.67951618294218,25.605080192625525,67.78120131752024,25.60516228930476,0.6310496059695365,0.03614158720089881,0.9471106789694402,0.030908168197975535,0.6289813705517019,0.0344416961444547
Interarrival Time = 4 min,4.0,77.23333333333333,2.528231402183848,19.277659238760464,12.417349996122935,64.49331782974804,13.902024148606417,0.1838358490933544,0.16015654352143885,83.95481291760186,21.46205224448491,102.02711840766246,21.4889945323423,0.6470956753856321,0.031184950345541956,0.9650507327347143,0.006851090609977241,0.6480661935225384,0.02911531538168368
Interarrival Time = 3.5 min,3.5,77.86666666666666,2.1452969143162255,31.5587090884905,14.223312548531032,69.68258094922967,8.004311008903494,0.19724290117712873,0.10868776843737797,101.4385329388973,16.860865716911896,119.50900015537124,16.90875257756922,0.656518389741826,0.02198006850717401,0.9669329582420029,0.006278449466876728,0.6508678762031362,0.02414163397878287
